Context,Question,Answer_Text,Answer_Start_Index,Title
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",What did the Mechon attack?,Colony 9,488,Xenoblade Chronicles
"Shulk is the main playable character and the protagonist of Xenoblade Chronicles. His ability to wield the Monado, using the sword's unique powers, as well as visions of the future, makes him one of the main forces against the Mechon. He is often referred to by some characters as the ""Heir to the Monado"". Shulk is also portrayed as being oblivious to other peoples' feelings. Despite his gentle nature, Shulk is roused to great hatred and vengeance against the Mechon after they attack Colony 9, revenge being the main factor that leads him and Reyn to begin their journey. Shulk trusts his companions above anything else, and goes to great lengths to protect them. Shulk also tends to be pessimistic, often feeling particularly frustrated if and when he fails to change the future seen in his visions.",What are Shulk's visions?,visions of the future,159,Xenoblade Chronicles
"Ravenloft is an alternate time-space existence known as a pocket dimension or demiplane, called the Demiplane of Dread, which consists of a collection of land pieces called ""domains"", brought together by a mysterious force known only as the Dark Powers. Each domain is tailored to and mystically ruled by a being called a Darklord who is forever trapped and surrounded by magical mists surrounding the domain. Strahd von Zarovich is a vampire and became the first Darklord, both ruler and prisoner of his own personal domain of Barovia. The Ravenloft setting was located in the Ethereal Plane. As a physical manifestation of that plane, lands, monsters and even people were created out of the mysterious mists, and the realm acted as a prison where one could enter or be transported, but means of escape were few.",What is Ravenloft?,pocket dimension or demiplane,58,D&D
"Ravenloft is an alternate time-space existence known as a pocket dimension or demiplane, called the Demiplane of Dread, which consists of a collection of land pieces called ""domains"", brought together by a mysterious force known only as the Dark Powers. Each domain is tailored to and mystically ruled by a being called a Darklord who is forever trapped and surrounded by magical mists surrounding the domain. Strahd von Zarovich is a vampire and became the first Darklord, both ruler and prisoner of his own personal domain of Barovia. The Ravenloft setting was located in the Ethereal Plane. As a physical manifestation of that plane, lands, monsters and even people were created out of the mysterious mists, and the realm acted as a prison where one could enter or be transported, but means of escape were few.",Who is Strahd?,vampire,435,D&D
"Ravenloft is an alternate time-space existence known as a pocket dimension or demiplane, called the Demiplane of Dread, which consists of a collection of land pieces called ""domains"", brought together by a mysterious force known only as the Dark Powers. Each domain is tailored to and mystically ruled by a being called a Darklord who is forever trapped and surrounded by magical mists surrounding the domain. Strahd von Zarovich is a vampire and became the first Darklord, both ruler and prisoner of his own personal domain of Barovia. The Ravenloft setting was located in the Ethereal Plane. As a physical manifestation of that plane, lands, monsters and even people were created out of the mysterious mists, and the realm acted as a prison where one could enter or be transported, but means of escape were few.",What are monsters made of in Ravenloft?,mysterious mists,693,D&D
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Who is Sancho?,an old friend,185,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",What order is Ladja a member of?,Order of Zugzwang,626,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",What two rings did Rodrigo send the Hero to retrieve?,the Circle of Fire and the Circle of Water,1078,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Why did rodrigo send the Hero to retrieve two rings?,test of his worthiness as a suitor for Nera,1127,Dragon Quest V
"Dragon Quest V begins with a brief scene of the Hero's birth in which the player gives the Hero a name. Afterwards, the Hero, as a child, and his father, Pankraz travel to meet Sancho, an old friend. The Hero meets Bianca and the two explore the haunted Uptaten Towers, where they obtain a mysterious Golden Orb. The next day, the Hero notices a man in the town who looks similar to him, albeit much older. That man asks the Hero to show him the Golden Orb and, after returning it, asks him to take care of his father Pankraz. The first section of the story ends with Pankraz being killed by Ladja, a mysterious member of the Order of Zugzwang, when he tries to protect his son and Prince Harry. The two children are then taken into slavery. The story continues ten years later, and the Hero and Harry have grown up working on a giant temple, but escape as the scene opens. The Hero travels to the west to the town of Mostroferrato, where the wealthy nobleman Rodrigo Briscoletti and his daughter Nera live. Rodrigo sends the Hero on a quest to retrieve two magic rings, called the Circle of Fire and the Circle of Water, as a test of his worthiness as a suitor for Nera. The Hero accomplishes this and Rodrigo offers the Hero the chance to marry Nera, but it is also possible for him to marry Bianca or Debora (DS). After the marriage, the Hero travels to his homeland of Gotha, where they make him king. His wife has two children, but is kidnapped by monsters. When the Hero comes to rescue her, both are turned to stone by the monsters. The Hero is found by his two children eight years later and is revived. Travelling the world to collect the legendary Zenithian armaments for the Legendary Hero, it is discovered that the Hero's son is indeed the Legendary Hero sought by Pankraz almost twenty years ago. During this stage of the journey, the Hero avenges Pankraz by killing Ladja, and restores the Dragon God, as well as Zenithia castle, to their proper homes in the sky. To accomplish this, the Hero has to enter a time warp to retrieve the Golden Orb from his child self. After returning to the temple the Hero helped build as a slave, the Zenithian armor is found, as well as the statue of his wife. After the king of the Order of Zugzwang, Korol, is defeated, the party is informed by him that the Hero's mother, Madalena remains in the dark world of Nadiria, and that the god of darkness, Grandmaster Nimzo, is lying in wait for the Legendary Hero there. The Hero, his wife, and their children agree not to leave Madalena in the Nadiria, so together they travel there via a portal near Lofty Peak, soon reaching Mt. Zugzwang. Madalena is found within, but is killed by Nimzo shortly after meeting the Hero and his family. The party continues on to confront and destroy Nimzo. They return to Gotha, and have a joyful party. As the family celebrates, Pankraz and Mada watch their son and his family from the heavens, happy and content with their progeny.",Where does Rodrigo Briscoletti and his daughter live?,Mostroferrato,918,Dragon Quest V
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Where is Dragon Quest XI set in?,the world of Erdrea,26,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Where was the Hero found floating in the river?,Cobblestone,262,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Who is Chalky's daughter?,Amber,316,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Where is King Carnelion from?,Heliodor,490,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Who is Sylvando?,traveling entertainer,1061,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Who is Rab?,former king of Dundrasil,1201,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",What is the Luminary?,legendary hero chosen by the world tree Yggdrasil,736,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",What does King Carnelian accuse the hero for?,being an evil entity,533,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Who is Serena's twin sister?,Veronica,874,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Who is the Hero's grandfather?,Rab,1192,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",Why is Veronica trapped in a child's body?,curse,926,Dragon Quest XI
"Dragon Quest XI is set in the world of Erdrea and begins as the kingdom of Dundrasil is invaded and destroyed by an army of monsters. The Hero, an infant during the attack, survives and is found floating down a river by an old man named Chalky in the village of Cobblestone. The Hero is adopted by Chalky's daughter Amber and raised in the village. After the Hero's coming-of-age ceremony, Amber reveals the truth to him about his birth and adoption and sends him to meet King Carnelian of Heliodor. However, the king accuses him of being an evil entity and throws him into the dungeons. Imprisoned, the Hero meets a thief named Erik who reveals that he was sent to meet him, as the mark on his hand is proof that he is the Luminary, a legendary hero chosen by the world tree Yggdrasil to save Erdrea from evil. The pair escape and evade capture, later joined by two mages: Veronica, who is trapped in a child's body due to a curse, and her twin sister, Serena. On their quest to help the Luminary reach Yggdrasil, they gain three other companions: Sylvando, a traveling entertainer, Jade, the exiled princess of Heliodor who helped the infant Hero escape during the attack of Dundrasil, and Rab, the former king of Dundrasil and the Hero's grandfather.",What invades the kingdom of Dudrasil?,an army of monsters,113,Dragon Quest XI
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is Twin's Peak located?,"at the peak between two mountains, Hati and Skoll",36,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Who lives in Twin's Peak?,humans and dwarves,115,Custom
